sound	subj	image	CURRENT_FIX_START	CURRENT_FIX_END	RT	List	Block	Trial	Item	TrialType	PicID	RespCode	noun1	noun2	adverb	verb	soundEnd	CURRENT_FIX_DUR
sva_1_spp.wav	l2102	SVA_1_4321.png	127	775	3890.02884142	1a	2	22	SVA_1	SPP	Local	LitHeadFoil	120	585	1126	1500	3086	648
sva_1_spp.wav	l2102	SVA_1_4321.png	4535	4861	3890.02884142	1a	2	22	SVA_1	SPP	Local	LitHeadFoil	120	585	1126	1500	3086	326
sva_1_spp.wav	l2102	SVA_1_4321.png	-773	-423	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	350
sva_1_spp.wav	l2102	SVA_1_4321.png	4915	5931	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	1016
sva_1_spp.wav	l2102	SVA_1_4321.png	2469	2735	3890.02884142	1a	2	22	SVA_1	SPP	Other	LitHeadFoil	120	585	1126	1500	3086	266
sva_1_spp.wav	l2102	SVA_1_4321.png	-87	103	3890.02884142	1a	2	22	SVA_1	SPP	Local	LitHeadFoil	120	585	1126	1500	3086	190
sva_1_spp.wav	l2102	SVA_1_4321.png	-3261	-1007	3890.02884142	1a	2	22	SVA_1	SPP	Other	LitHeadFoil	120	585	1126	1500	3086	2254
sva_1_spp.wav	l2102	SVA_1_4321.png	1015	1255	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	240
sva_1_spp.wav	l2102	SVA_1_4321.png	1287	1899	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	612
sva_1_spp.wav	l2102	SVA_1_4321.png	1925	2433	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	508
sva_1_spp.wav	l2102	SVA_1_4321.png	2961	4313	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	1352
sva_1_spp.wav	l2102	SVA_1_4321.png	-393	-151	3890.02884142	1a	2	22	SVA_1	SPP	HeadFoil	LitHeadFoil	120	585	1126	1500	3086	242
sva_1_spp.wav	l2102	SVA_1_4321.png	2763	2921	3890.02884142	1a	2	22	SVA_1	SPP	Local	LitHeadFoil	120	585	1126	1500	3086	158
sva_1_spp.wav	l2106	SVA_1_1234.png	2741	3027	4628.24602208	2a	2	9	SVA_1	SPP	HeadFoil	LitHead	120	585	1126	1500	3086	286
sva_1_spp.wav	l2106	SVA_1_1234.png	1675	2271	4628.24602208	2a	2	9	SVA_1	SPP	Local	LitHead	120	585	1126	1500	3086	596
sva_1_spp.wav	l2106	SVA_1_1234.png	893	1001	4628.24602208	2a	2	9	SVA_1	SPP	Local	LitHead	120	585	1126	1500	3086	108
sva_1_spp.wav	l2106	SVA_1_1234.png	-491	-265	4628.24602208	2a	2	9	SVA_1	SPP	Head	LitHead	120	585	1126	1500	3086	226
sva_1_spp.wav	l2106	SVA_1_1234.png	1521	1653	4628.24602208	2a	2	9	SVA_1	SPP	Local	LitHead	120	585	1126	1500	3086	132
sva_1_spp.wav	l2106	SVA_1_1234.png	599	875	4628.24602208	2a	2	9	SVA_1	SPP	Other	LitHead	120	585	1126	1500	3086	276
sva_1_spp.wav	l2106	SVA_1_1234.png	5747	6059	4628.24602208	2a	2	9	SVA_1	SPP	Other	LitHead	120	585	1126	1500	3086	312
sva_1_spp.wav	l2106	SVA_1_1234.png	1025	1501	4628.24602208	2a	2	9	SVA_1	SPP	Local	LitHead	120	585	1126	1500	3086	476
sva_1_spp.wav	l2106	SVA_1_1234.png	2309	2519	4628.24602208	2a	2	9	SVA_1	SPP	LocalFoil	LitHead	120	585	1126	1500	3086	210
sva_1_spp.wav	l2106	SVA_1_1234.png	-977	-943	4628.24602208	2a	2	9	SVA_1	SPP	LocalFoil	LitHead	120	585	1126	1500	3086	34
sva_1_spp.wav	l2106	SVA_1_1234.png	3263	5715	4628.24602208	2a	2	9	SVA_1	SPP	Head	LitHead	120	585	1126	1500	3086	2452
sva_1_spp.wav	l2106	SVA_1_1234.png	-195	-163	4628.24602208	2a	2	9	SVA_1	SPP	LocalFoil	LitHead	120	585	1126	1500	3086	32
sva_1_spp.wav	l2106	SVA_1_1234.png	2613	2689	4628.24602208	2a	2	9	SVA_1	SPP	LocalFoil	LitHead	120	585	1126	1500	3086	76
