Subj	Item	Trial	List	Item.text	Response	Corr	CorrResp	RT	RespCat
vpc301	critical-1VPC-P_1	9	7	[He will bring down the crowd]	No	0	Yes	1114	Miss
vpc301	critical-1VPC-P_32	19	7	[We will buy the supplies]	No	0	Yes	1521	Miss
vpc301	critical-1VPC-P_18	22	7	[They will mark up the lumber]	Yes	0	No	1762	FalseAlarm
vpc301	critical-1VPC-P_22	28	7	[They will look over the part]	No	1	No	1040	CorrReject
vpc301	critical-1VPC-P_13	29	7	[She will finish up the game]	Yes	1	Yes	1343	Hit
vpc301	critical-1VPC-P_23	44	7	[They will throw the frisbee]	Yes	0	No	1559	FalseAlarm
vpc301	critical-1VPC-P_20	47	7	[They will pull the photo]	Yes	1	Yes	1000	Hit
vpc301	critical-1VPC-P_9	49	7	[She will break off the stick]	Yes	1	Yes	1315	Hit
vpc301	critical-1VPC-P_30	61	7	[We will mark off the pages]	Yes	0	No	1240	FalseAlarm
vpc301	critical-1VPC-P_19	63	7	[They will keep the secret]	Yes	0	No	1258	FalseAlarm
vpc301	critical-1VPC-P_21	64	7	[They will seal off the bag]	Yes	1	Yes	1245	Hit
vpc301	critical-1VPC-P_24	65	7	[They will find the word]	Yes	1	Yes	1034	Hit
vpc301	critical-1VPC-P_14	66	7	[She will clear out the drawer]	Yes	0	No	764	FalseAlarm
vpc301	critical-1VPC-P_3	69	7	[He will eat the spaghetti]	No	1	No	1501	CorrReject
vpc301	critical-1VPC-P_31	71	7	[We will set the timer]	No	1	No	1317	CorrReject
vpc301	critical-1VPC-P_12	85	7	[She will give the prizes]	Yes	1	Yes	1005	Hit
vpc301	critical-1VPC-P_28	100	7	[We will charge the phone]	Yes	1	Yes	1468	Hit
vpc301	critical-1VPC-P_15	110	7	[She will patch the tire]	Yes	0	No	985	FalseAlarm
vpc301	critical-1VPC-P_29	112	7	[We will make over the model]	Yes	1	Yes	1521	Hit
vpc301	critical-1VPC-P_8	114	7	[He will hold the job]	No	0	Yes	1125	Miss
vpc301	critical-1VPC-P_4	116	7	[He will cut the meat]	Yes	1	Yes	2213	Hit
vpc301	critical-1VPC-P_2	119	7	[He wil round up the fractions]	Yes	0	No	1155	FalseAlarm
vpc301	critical-1VPC-P_17	122	7	[They will boil down the soup]	Yes	1	Yes	789	Hit
vpc301	critical-1VPC-P_16	129	7	[She will buy the store]	Yes	1	Yes	1895	Hit
vpc301	critical-1VPC-P_7	155	7	[He will see the rumors]	Yes	0	No	1585	FalseAlarm
vpc301	critical-1VPC-P_27	156	7	[We will call the juror]	Yes	0	No	2060	FalseAlarm
vpc301	critical-1VPC-P_26	159	7	[We will bail out the prisoner]	No	1	No	959	CorrReject
vpc301	critical-1VPC-P_5	160	7	[He will run over the trail]	No	0	Yes	540	Miss
vpc3010	critical-1VPC-P_22	5	2	[They will take the position]	Yes	0	No	227	FalseAlarm
vpc3010	critical-1VPC-P_18	6	2	[They will catch the students]	Yes	0	No	261	FalseAlarm
vpc3010	critical-1VPC-P_28	10	2	[We will dress up the doll]	No	0	Yes	271	Miss
vpc3010	critical-1VPC-P_7	15	2	[He will think the thoughts]	No	0	Yes	363	Miss
vpc3010	critical-1VPC-P_16	16	2	[She will throw out the trash]	Yes	1	Yes	137	Hit
vpc3010	critical-1VPC-P_26	17	2	[We will bust the moves]	Yes	0	No	178	FalseAlarm
vpc3010	critical-1VPC-P_23	19	2	[They will check the essays]	No	0	Yes	285	Miss
vpc3010	critical-1VPC-P_2	24	2	[He will buy the land]	No	1	No	139	CorrReject
vpc3010	critical-1VPC-P_5	29	2	[He will pass over the dessert]	No	1	No	1443	CorrReject
vpc3010	critical-1VPC-P_27	30	2	[We will bring the gifts]	Yes	1	Yes	967	Hit
vpc3010	critical-1VPC-P_15	33	2	[She will set the boundaries]	Yes	1	Yes	277	Hit
vpc3010	critical-1VPC-P_25	35	2	[We will throw in the towel]	No	1	No	646	CorrReject
vpc3010	critical-1VPC-P_21	47	2	[They will lead off the dance]	Yes	0	No	283	FalseAlarm
vpc3010	critical-1VPC-P_19	50	2	[They will carry the groceries]	Yes	1	Yes	757	Hit
