"month"	"high"	"low"	"tot_precip"	"tot_sun"	"days"	"mm_day_precip"	"hrs_day_sun"
"jan"	5.2	-0.2	64.8	47.4	31	2.09	1.53
"feb"	6.2	-0.4	42.7	74.1	28	1.53	2.65
"mar"	9.8	1.7	63	105.7	31	2.03	3.41
"apr"	13.3	3.4	44.4	151.7	30	1.48	5.06
"may"	18.1	7.4	58.8	193.5	31	1.9	6.24
"jun"	20.4	10.2	74.3	172.5	30	2.48	5.75
"jul"	22.6	12.2	62.6	183.1	31	2.02	5.91
"aug"	22.9	11.7	56.2	182.9	31	1.81	5.9
"sep"	19	9.4	68.9	127.4	30	2.3	4.25
"oct"	14.3	6.1	66.2	102.8	31	2.14	3.32
"nov"	8.9	2.8	69.9	55.8	30	2.33	1.86
"dec"	6.2	1	72.3	40	31	2.33	1.29
