"Subject"	"RT"	"Trial"	"Sex"	"NativeLanguage"	"Correct"	"PrevType"	"PrevCorrect"	"Word"	"Frequency"	"FamilySize"	"SynsetCount"	"Length"	"Class"	"FreqSingular"	"FreqPlural"	"DerivEntropy"	"Complex"	"rInfl"	"meanRT"	"SubjFreq"	"meanSize"	"meanWeight"	"BNCw"	"BNCc"	"BNCd"	"BNCcRatio"	"BNCdRatio"	"Sn"	"NativeLangSim"
"A33Dutch"	6.16651756938204	28	"F"	"Other"	"correct"	"nonword"	"correct"	"strawberry"	4.75359	0	1.3862944	10	"plant"	50	65	0	"complex"	-0.25782911	6.3475	5.04	1.8922	1.4951	2.919548	0.64996	18.526805	0.222624	6.345778	"3"	"Dutch"
"A33Dutch"	6.07170056938204	29	"F"	"Other"	"correct"	"word"	"correct"	"crocodile"	4.615121	0	0.6931472	9	"animal"	35	65	0	"simplex"	-0.6061358	6.4433	3.36	3.8372	3.5655	2.574105	2.112371	2.850278	0.820623	1.107289	"3"	"Dutch"
"A33Dutch"	6.14153656938204	32	"F"	"Other"	"correct"	"nonword"	"correct"	"cherry"	4.997212	0.6931472	1.6094379	6	"plant"	83	49	0.4754	"simplex"	0.51879379	6.3426	3.88	1.6278	1.2081	5.71652	3.249801	12.588727	0.568493	2.202166	"3"	"Dutch"
"A33Dutch"	6.11071256938204	34	"F"	"Other"	"correct"	"nonword"	"correct"	"bunny"	3.332205	0	1.0986123	5	"animal"	19	8	0	"simplex"	0.7985077	6.4092	3.4	3.615	3.271	3.276134	0.16249	10.451018	0.049598	3.190046	"3"	"Dutch"
"A33Dutch"	6.47293756938204	35	"F"	"Other"	"correct"	"word"	"correct"	"paprika"	2.484907	0	1.0986123	7	"plant"	11	0	0	"simplex"	2.48490665	6.4825	3.44	2.0858	1.6507	0.456876	0	0.475046	0	1.039771	"3"	"Dutch"
"A33Dutch"	6.01783456938204	36	"F"	"Other"	"correct"	"word"	"correct"	"lemon"	5.631212	0.6931472	1.6094379	5	"plant"	233	45	0.6285	"simplex"	1.62667972	6.29	5.04	1.8119	1.4315	11.834199	3.087311	22.089653	0.26088	1.866595	"3"	"Dutch"
"A33Dutch"	6.06079156938204	40	"F"	"Other"	"correct"	"nonword"	"correct"	"clove"	3.663562	0	1.6094379	5	"plant"	16	22	0	"simplex"	-0.30228087	6.4277	3.12	1.6785	1.2208	1.482061	0	0.237523	0	0.160265	"3"	"Dutch"
"A33Dutch"	6.16487156938204	41	"F"	"Other"	"correct"	"word"	"correct"	"ant"	5.347108	1.3862944	1.0986123	3	"animal"	69	140	0.562	"simplex"	-0.70026465	6.3231	3.6	3.6275	3.3489	4.591045	0.16249	3.80037	0.035393	0.827779	"3"	"Dutch"
"A33Dutch"	6.08784456938204	44	"F"	"Other"	"correct"	"nonword"	"incorrect"	"pig"	6.660575	2.7725887	2.3025851	3	"animal"	320	460	1.6313	"simplex"	-0.36195692	6.2783	4.48	3.4075	3.12	12.636518	10.886833	17.576713	0.861537	1.390946	"3"	"Dutch"
"A33Dutch"	6.15825956938204	46	"F"	"Other"	"correct"	"nonword"	"correct"	"shark"	5.880533	0.6931472	1.7917595	5	"animal"	246	111	0.0277	"simplex"	0.79088947	6.3179	3.76	3.9283	3.6724	3.231561	0.32498	3.80037	0.100564	1.176017	"3"	"Dutch"
